symbol,short_name,region,exchange,exchange_timezone,market_cap,beta
MSTR,MicroStrategy Incorporated,US,NMS,EDT,77472047104,3.37
MT,Arcelor Mittal NY Registry Shar,US,NYQ,EDT,24762585088,1.802
MTCH,"Match Group, Inc.",US,NMS,EDT,7748273152,1.435
MU,"Micron Technology, Inc.",US,NMS,EDT,112297197568,1.228
MVIS,"Microvision, Inc.",US,NGM,EDT,287975648,2.613
NCLH,Norwegian Cruise Line Holdings ,US,NYQ,EDT,8442544640,2.633
NEE,"NextEra Energy, Inc.",US,NYQ,EDT,151294558208,0.574
NEM,Newmont Corporation,US,NYQ,EDT,52106010624,0.556
NET,"Cloudflare, Inc.",US,NYQ,EDT,40080461824,1.273
NFE,New Fortress Energy Inc.,US,NMS,EDT,2535128832,1.564
NFLX,"Netflix, Inc.",US,NMS,EDT,392680931328,1.377
NIO,NIO Inc.,US,NYQ,EDT,9884525568,1.805
NKE,"Nike, Inc.",US,NYQ,EDT,105994461184,1.021
NLY,Annaly Capital Management Inc.,US,NYQ,EDT,12498317312,1.611
NOK,Nokia Corporation Sponsored,US,NYQ,EDT,29063368704,0.776
NOW,"ServiceNow, Inc.",US,NYQ,EDT,174343176192,1.034
NSC,Norfolk Southern Corporation,US,NYQ,EDT,52600619008,1.348
NTAP,"NetApp, Inc.",US,NMS,EDT,18982555648,1.227
NTES,"NetEase, Inc.",US,NMS,EDT,66919616512,0.819
NTR,Nutrien Ltd.,US,NYQ,EDT,24849465344,0.961
NUE,Nucor Corporation,US,NYQ,EDT,30451499008,1.596
NVAX,"Novavax, Inc.",US,NMS,EDT,1285143552,2.91
NVDA,NVIDIA Corporation,US,NMS,EDT,2968747769856,1.765
NVO,Novo Nordisk A/S,US,NYQ,EDT,342421012480,0.167
NXPI,NXP Semiconductors N.V.,US,NMS,EDT,52286300160,1.476
OKTA,"Okta, Inc.",US,NMS,EDT,19539019776,1.089
OMEX,"Odyssey Marine Exploration, Inc",US,NCM,EDT,12077814,-0.026
ON,ON Semiconductor Corporation,US,NMS,EDT,18201171968,1.588
OPEN,Opendoor Technologies Inc,US,NMS,EDT,824810496,2.813
ORCL,Oracle Corporation,US,NYQ,EDT,418587410432,1.066
OXY,Occidental Petroleum Corporatio,US,NYQ,EDT,43699859456,1.539
PAA,"Plains All American Pipeline, L",US,NMS,EDT,13871424512,1.593
PAAS,Pan American Silver Corp.,US,NYQ,EDT,9336433664,1.344
PANW,"Palo Alto Networks, Inc.",US,NMS,EDT,120727306240,1.044
PARA,Paramount Global,US,NMS,EDT,8287110656,1.624
PBI,Pitney Bowes Inc.,US,NYQ,EDT,1721853568,2.013
PBR,Petroleo Brasileiro S.A.- Petro,US,NYQ,EDT,79767756800,0.876
PCG,Pacific Gas & Electric Co.,US,NYQ,EDT,36808273920,1.045
PCT,"PureCycle Technologies, Inc.",US,NCM,EDT,1380887168,1.59
PDD,PDD Holdings Inc.,US,NMS,EDT,170179887104,0.683
PENN,"PENN Entertainment, Inc.",US,NMS,EDT,2613864448,2.189
PEP,"Pepsico, Inc.",US,NMS,EDT,203791187968,0.53
PFE,"Pfizer, Inc.",US,NYQ,EDT,145869701120,0.543
PG,Procter & Gamble Company (The),US,NYQ,EDT,393864445952,0.4
PGR,Progressive Corporation (The),US,NYQ,EDT,166301351936,0.351
PHM,"PulteGroup, Inc.",US,NYQ,EDT,20751159296,1.725
PINS,"Pinterest, Inc.",US,NYQ,EDT,21669672960,1.017
PLCE,"Children's Place, Inc. (The)",US,NMS,EDT,107010448,2.478
PLTR,Palantir Technologies Inc.,US,NMS,EDT,202263822336,2.806
PLUG,"Plug Power, Inc.",US,NCM,EDT,1535795456,1.983
PM,Philip Morris International Inc,US,NYQ,EDT,236152143872,0.561
PNC,"PNC Financial Services Group, I",US,NYQ,EDT,68460797952,1.127
POET,POET Technologies Inc.,US,NCM,EDT,300349472,0.759
PPG,"PPG Industries, Inc.",US,NYQ,EDT,25754855424,1.212
PSX,Phillips 66,US,NYQ,EDT,51667566592,1.292
PTON,"Peloton Interactive, Inc.",US,NMS,EDT,2749246208,1.949
PYPL,"PayPal Holdings, Inc.",US,NMS,EDT,68208230400,1.527
QBTS,D-Wave Quantum Inc.,US,NYQ,EDT,2705665024,1.114
QCOM,QUALCOMM Incorporated,US,NMS,EDT,173177487360,1.289
QS,QuantumScape Corporation,US,NYQ,EDT,2384523264,4.455
QSI,Quantum-Si Incorporated,US,NGM,EDT,249070400,2.786
QUBT,Quantum Computing Inc.,US,NCM,EDT,972577856,3.259
RBLX,Roblox Corporation,US,NYQ,EDT,37709119488,1.488
RCAT,"Red Cat Holdings, Inc.",US,NCM,EDT,484592192,0.491
RCL,Royal Caribbean Cruises Ltd.,US,NYQ,EDT,57060728832,2.544
RDFN,Redfin Corporation,US,NMS,EDT,1352362240,2.898
REGN,"Regeneron Pharmaceuticals, Inc.",US,NMS,EDT,72905564160,0.268
RH,RH,US,NYQ,EDT,4186746112,2.506
RIG,Transocean Ltd (Switzerland),US,NYQ,EDT,2671816448,2.72
RILY,"B. Riley Financial, Inc.",US,NGM,EDT,128392792,1.211
RIOT,"Riot Platforms, Inc.",US,NCM,EDT,2738626560,4.36
RKLB,"Rocket Lab USA, Inc.",US,NCM,EDT,8531181056,2.067
RKT,"Rocket Companies, Inc.",US,NYQ,EDT,29551151104,2.37
RNG,"Ringcentral, Inc.",US,NYQ,EDT,2449491456,1.205
ROKU,"Roku, Inc.",US,NMS,EDT,9892083712,2.118
ROST,"Ross Stores, Inc.",US,NMS,EDT,40980480000,1.156
RTX,RTX Corporation,US,NYQ,EDT,173548355584,0.491
RUN,Sunrun Inc.,US,NMS,EDT,1470365056,2.841
SAVA,"Cassava Sciences, Inc.",US,NCM,EDT,134779040,-1.24
SBUX,Starbucks Corporation,US,NMS,EDT,111446089728,0.985
SCHW,Charles Schwab Corporation (The,US,NYQ,EDT,139844386816,0.978
SE,Sea Limited,US,NYQ,EDT,73188139008,1.617
SEDG,"SolarEdge Technologies, Inc.",US,NMS,EDT,947573952,1.778
SFIX,"Stitch Fix, Inc.",US,NMS,EDT,493292512,2.135
SHAK,"Shake Shack, Inc.",US,NYQ,EDT,3720769536,1.895
SHEL,Shell PLC,US,NYQ,EDT,206085111808,0.408
SHOP,Shopify Inc.,US,NYQ,EDT,122353655808,2.6
SIG,Signet Jewelers Limited,US,NYQ,EDT,2085412608,2.206
SIRI,SiriusXM Holdings Inc.,US,NMS,EDT,7679892992,1.065
SLB,Schlumberger N.V.,US,NYQ,EDT,55890243584,1.48
SMCI,"Super Micro Computer, Inc.",US,NMS,EDT,25027094528,1.203
SMMT,Summit Therapeutics Inc.,US,NGM,EDT,15336368128,-1.042
SNAP,Snap Inc.,US,NYQ,EDT,14656550912,0.919
SNDL,SNDL Inc.,US,NCM,EDT,400995584,3.382
SNOW,Snowflake Inc.,US,NYQ,EDT,51527385088,1.073
